run,year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
BASE,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
BASE,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
BASE,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
BASE,2038,250,170,251.709,3.020508,248.5844533,170,1.415546667,0.9943378133,1,0,0.1040386667,30.82191781,0,false
BASE,2039,320,210,332.5443333,3.990532,320,210,0,1,1,0.1040386667,8.65784,39.45205479,0.1040386667,false
BASE,2040,390,250,394.6623333,4.735948,390,250,0,1,1,8.65784,8.584225333,48.08219178,8.65784,false
MANDATORY_STRESS,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
MANDATORY_STRESS,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
MANDATORY_STRESS,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
MANDATORY_STRESS,2038,287.5,195.5,228.02145,2.7362574,225.2851926,195.5,62.2148074,0.7836006699,1,0,0,35.44520548,0,false
MANDATORY_STRESS,2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
MANDATORY_STRESS,2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2038,287.5,195.5,220.1256,2.6415072,217.4840928,195.5,70.0159072,0.7564664097,1,0,0,35.44520548,0,false
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2038,287.5,195.5,228.126,2.737512,225.388488,195.5,62.111512,0.7839599583,1,0,0,35.44520548,0,false
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
R02:TEAM_ISRU_DELAY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R02:TEAM_ISRU_DELAY,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
R02:TEAM_ISRU_DELAY,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
R02:TEAM_ISRU_DELAY,2038,250,170,199.07,2.38884,196.68116,170,53.31884,0.78672464,1,0,0,30.82191781,0,false
R02:TEAM_ISRU_DELAY,2039,320,210,320.0043333,3.840052,316.066008,210,3.933992,0.987706275,1,0,0.09827333333,39.45205479,0,false
R02:TEAM_ISRU_DELAY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,0.09827333333,0.02465866667,48.08219178,0.09827333333,false
R02:MIT:TEAM_ISRU_DELAY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R02:MIT:TEAM_ISRU_DELAY,2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
R02:MIT:TEAM_ISRU_DELAY,2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
R02:MIT:TEAM_ISRU_DELAY,2038,250,170,251.6283667,3.0195404,248.6088263,170,1.391173733,0.9944353051,1,0,0,30.82191781,0,false
R02:MIT:TEAM_ISRU_DELAY,2039,320,210,320.0043333,3.840052,316.066008,210,3.933992,0.987706275,1,0,0.09827333333,39.45205479,0,false
R02:MIT:TEAM_ISRU_DELAY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,0.09827333333,0.02465866667,48.08219178,0.09827333333,false
