run,year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
BASE,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
BASE,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
BASE,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
BASE,2038,0,1430,1640.515167,102,0,35.063676,82,1859.578843,1397.129108,7.438315371
BASE,2039,0,1430,2125.9781,102,0,41.2222182,82,2351.200318,1605.901454,7.347500994
BASE,2040,0,1430,1714.113667,102,824.6,41.47745472,82,1939.591121,1204.333485,4.973310568
MANDATORY_STRESS,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
MANDATORY_STRESS,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
MANDATORY_STRESS,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
MANDATORY_STRESS,2038,0,1430,2001.759708,102,0,12.83331593,82,2198.593024,1651.83548,8.11004463
MANDATORY_STRESS,2039,0,1430,2605.571875,102,0,0.0866,82,2789.658475,1905.374274,8.933136017
MANDATORY_STRESS,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867831733
F1_demand_x1.15,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
F1_demand_x1.15,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
F1_demand_x1.15,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
F1_demand_x1.15,2038,0,1430,1640.515167,102,0,21.563676,82,1846.078843,1386.986358,6.421143801
F1_demand_x1.15,2039,0,1430,2125.9781,102,0,2.75523369,82,2312.733334,1579.627986,6.798757705
F1_demand_x1.15,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867831733
F2_price_AB_x1.25,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
F2_price_AB_x1.25,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
F2_price_AB_x1.25,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
F2_price_AB_x1.25,2038,0,1430,2001.759708,102,0,35.063676,82,2220.823384,1668.537479,8.883293537
F2_price_AB_x1.25,2039,0,1430,2605.571875,102,0,41.2222182,82,2830.794093,1933.470455,8.846231541
F2_price_AB_x1.25,2040,0,1430,1714.113667,102,824.6,41.47745472,82,1939.591121,1204.333485,4.973310568
F3_isru_55_75,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
F3_isru_55_75,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
F3_isru_55_75,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
F3_isru_55_75,2038,0,1430,1640.515167,102,0,24.85418393,82,1849.369351,1389.458565,7.397477402
F3_isru_55_75,2039,0,1430,2125.9781,102,0,14.78752633,82,2324.765626,1587.846203,7.264892582
F3_isru_55_75,2040,0,1430,1714.113667,102,824.6,9.586616832,82,1907.700283,1184.531784,4.891539188
F4_loss_ceiling_2pct,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
F4_loss_ceiling_2pct,2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
F4_loss_ceiling_2pct,2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
F4_loss_ceiling_2pct,2038,0,1430,1640.515167,102,0,35.063676,82,1859.578843,1397.129108,7.438315371
F4_loss_ceiling_2pct,2039,0,1430,2125.9781,102,0,41.2222182,82,2351.200318,1605.901454,7.347500994
F4_loss_ceiling_2pct,2040,0,1430,1714.113667,102,824.6,41.47745472,82,1939.591121,1204.333485,4.973310568
